"train/global_step","distilhubert-finetuned-gtzan - _step","distilhubert-finetuned-gtzan - _step__MIN","distilhubert-finetuned-gtzan - _step__MAX","distilhubert-finetuned-gtzan - train/loss","distilhubert-finetuned-gtzan - train/loss__MIN","distilhubert-finetuned-gtzan - train/loss__MAX"
"5","0","0","0","1.6106","1.6106","1.6106"
"10","1","1","1","1.6154","1.6154","1.6154"
"15","2","2","2","1.5871","1.5871","1.5871"
"20","3","3","3","1.5504","1.5504","1.5504"
"25","4","4","4","1.5331","1.5331","1.5331"
"30","5","5","5","1.4761","1.4761","1.4761"
"35","6","6","6","1.3631","1.3631","1.3631"
"40","7","7","7","1.2845","1.2845","1.2845"
"45","8","8","8","1.2784","1.2784","1.2784"
"50","9","9","9","1.3556","1.3556","1.3556"
"55","10","10","10","1.4641","1.4641","1.4641"
"60","11","11","11","1.3287","1.3287","1.3287"
"65","12","12","12","1.4281","1.4281","1.4281"
"70","13","13","13","1.4385","1.4385","1.4385"
"75","14","14","14","1.5062","1.5062","1.5062"
"80","16","16","16","1.2424","1.2424","1.2424"
"85","17","17","17","1.2913","1.2913","1.2913"
"90","18","18","18","1.3177","1.3177","1.3177"
"95","19","19","19","1.4001","1.4001","1.4001"
"100","20","20","20","1.2333","1.2333","1.2333"
"105","21","21","21","1.1901","1.1901","1.1901"
"110","22","22","22","1.274","1.274","1.274"
"115","23","23","23","1.0541","1.0541","1.0541"
"120","24","24","24","1.0741","1.0741","1.0741"
"125","25","25","25","1.3389","1.3389","1.3389"
"130","26","26","26","1.253","1.253","1.253"
"135","27","27","27","1.3115","1.3115","1.3115"
"140","28","28","28","1.1621","1.1621","1.1621"
"145","29","29","29","1.0385","1.0385","1.0385"
"150","30","30","30","1.2838","1.2838","1.2838"
"155","32","32","32","1.1924","1.1924","1.1924"
"160","33","33","33","0.9226","0.9226","0.9226"
"165","34","34","34","1.0747","1.0747","1.0747"
"170","35","35","35","1.1384","1.1384","1.1384"
"175","36","36","36","0.9815","0.9815","0.9815"
"180","37","37","37","0.8297","0.8297","0.8297"
"185","38","38","38","0.9897","0.9897","0.9897"
"190","39","39","39","0.9633","0.9633","0.9633"
"195","40","40","40","0.7779","0.7779","0.7779"
"200","41","41","41","1.0731","1.0731","1.0731"
"205","42","42","42","0.9978","0.9978","0.9978"
"210","43","43","43","0.7959","0.7959","0.7959"
"215","44","44","44","1.0222","1.0222","1.0222"
"220","45","45","45","0.9946","0.9946","0.9946"
"225","46","46","46","0.8002","0.8002","0.8002"
"230","48","48","48","0.8969","0.8969","0.8969"
"235","49","49","49","0.9985","0.9985","0.9985"
"240","50","50","50","0.8565","0.8565","0.8565"
"245","51","51","51","0.7534","0.7534","0.7534"
"250","52","52","52","0.8247","0.8247","0.8247"
"255","53","53","53","0.8995","0.8995","0.8995"
"260","54","54","54","0.6809","0.6809","0.6809"
"265","55","55","55","0.8036","0.8036","0.8036"
"270","56","56","56","0.8382","0.8382","0.8382"
"275","57","57","57","0.7461","0.7461","0.7461"
"280","58","58","58","0.6358","0.6358","0.6358"
"285","59","59","59","0.9613","0.9613","0.9613"
"290","60","60","60","0.6684","0.6684","0.6684"
"295","61","61","61","0.6123","0.6123","0.6123"
"300","62","62","62","0.6386","0.6386","0.6386"
"305","64","64","64","0.6254","0.6254","0.6254"
"310","65","65","65","0.5939","0.5939","0.5939"
"315","66","66","66","0.612","0.612","0.612"
"320","67","67","67","0.5937","0.5937","0.5937"
"325","68","68","68","0.6479","0.6479","0.6479"
"330","69","69","69","0.6458","0.6458","0.6458"
"335","70","70","70","0.6522","0.6522","0.6522"
"340","71","71","71","0.5515","0.5515","0.5515"
"345","72","72","72","0.4595","0.4595","0.4595"
"350","73","73","73","0.5093","0.5093","0.5093"
"355","74","74","74","0.7645","0.7645","0.7645"
"360","75","75","75","0.4765","0.4765","0.4765"
"365","76","76","76","0.5723","0.5723","0.5723"
"370","77","77","77","0.4858","0.4858","0.4858"
"375","78","78","78","0.5951","0.5951","0.5951"
