"Step","distilhubert-finetuned-gtzan - eval/accuracy","distilhubert-finetuned-gtzan - eval/accuracy__MIN","distilhubert-finetuned-gtzan - eval/accuracy__MAX"
"15","0.5147058823529411","0.5147058823529411","0.5147058823529411"
"31","0.5882352941176471","0.5882352941176471","0.5882352941176471"
"47","0.6029411764705882","0.6029411764705882","0.6029411764705882"
"63","0.6323529411764706","0.6323529411764706","0.6323529411764706"
"80","0.6617647058823529","0.6617647058823529","0.6617647058823529"
"96","0.7352941176470589","0.7352941176470589","0.7352941176470589"
"112","0.7205882352941176","0.7205882352941176","0.7205882352941176"
"128","0.8088235294117647","0.8088235294117647","0.8088235294117647"
"144","0.7647058823529411","0.7647058823529411","0.7647058823529411"
"161","0.7941176470588235","0.7941176470588235","0.7941176470588235"
